country_a,country_b,year,total_export_A_to_B,total_import_A_from_B,trade_volume,bec_1_export_A_to_b,bec_2_export_A_to_b,bec_3_export_A_to_b,bec_4_export_A_to_b,bec_5_export_A_to_b,bec_6_export_A_to_b,bec_7_export_A_to_b,bec_8_export_A_to_b,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B,scenario
AUS,CHE,2024,1028487644.500734,2134927339.9340703,3163414984.4348044,68078425.78221796,41185724.957336925,83412469.10287729,303918000.6747835,51201072.35569771,12244302.854972191,462438403.168776,6009245.604072242,47401205.45439414,18547270.772604812,71204780.27653089,1554408593.8396213,43417082.62123622,10714881.559403265,385158187.468771,4075337.94150875,forecast
AUS,CHE,2025,883254507.7642219,2149224649.177882,3032479156.9421043,57904278.567408934,41458099.06233876,75403685.02511232,218822033.88707247,53286649.932789326,10918546.484395174,421582459.5767033,3878755.2284016516,32834673.637557648,15765322.302433763,56972463.90029412,1679905639.2075634,33787083.8196129,8530879.897426702,319203283.46264786,2225302.950345552,forecast
AUS,CHE,2026,757690421.9325222,2148013433.7212224,2905703855.6537447,48430932.85250097,41073852.53916145,67913350.58023337,151309736.28248617,54423279.92969711,9864183.042578124,382215497.8330666,2459588.8727984205,22703668.60654487,13363965.442967638,45594928.98992101,1767910829.4404552,26506128.16833111,6815204.996237862,263919534.50000715,1199173.576757719,forecast
AUS,CHN,2024,105550369909.78949,62254428927.27045,167804798837.05994,6030454877.373277,48319271099.53536,22393738742.84944,8971403194.56049,8542533502.496489,8572408177.255513,2652981481.670597,67578834.04832557,3364576849.989701,30285980842.470722,12584650824.291777,7150271827.055957,3759723008.5134573,3091832399.2073226,1749809243.5553737,267583932.18614566,forecast
AUS,CHN,2025,109847518257.09402,68299047734.89008,178146565991.9841,6021233848.7836685,46265928696.472275,25107859155.051537,10481092668.394356,10932002729.669807,8678815751.254585,2324591802.60885,35993604.85894322,3503847471.8857174,30988148387.45116,14826884333.416763,9137120348.054653,4441195237.586462,3205628496.3159804,1994331748.0678742,201891712.11148122,forecast
AUS,CHN,2026,114347406393.62369,75382399448.6327,189729805842.2564,5978184751.703876,43678247403.00666,28008361273.010315,12063091416.28914,13855892628.065138,8729978360.27951,2015224632.1461148,18425929.12292032,3625520760.8946915,31707091448.043125,17429731039.30918,11598115448.543121,5263630687.178604,3349667233.7511787,2261750107.3336577,146892723.5791425,forecast
AUS,DEU,2024,1481666850.3164012,9663188450.096182,11144855300.412582,167094840.62474278,223537956.4458903,248396187.2560364,26455263.6876787,457548131.0826054,45324352.45066178,301458167.8688613,11851950.899924584,1169323280.114848,2385776678.1397758,1461568144.866245,190454536.0723666,2430834554.1058254,245793137.5683842,1683603133.0502188,95834986.17851755,forecast
AUS,DEU,2025,1246152637.992974,9965943288.870977,11212095926.86395,129305080.11620474,198310609.66278434,185681033.04620793,19382797.288280297,417038422.9072444,35928462.7649647,253923054.66701838,6583177.540269486,1220739860.5212796,2798142741.4570427,1365702189.7726433,177733702.03146356,2416610923.4184556,242556346.86738557,1697587891.8902802,46869632.91242821,forecast
AUS,DEU,2026,1040454188.4025068,10338367543.70251,11378821732.105019,95777167.20843239,174906142.48481372,136981620.41303822,13817482.221569106,377764846.12057126,28508839.132389992,209338279.56709754,3359811.2545944075,1255717364.9919713,3275857485.4835343,1273835035.1706686,164952863.7034954,2398376293.8763304,239097825.62876078,1708164890.7295187,22365784.11823106,forecast
AUS,FRA,2024,1291245294.345289,2996649621.323005,4287894915.668294,237122436.3233686,280202831.56947094,121276541.66249269,42392483.93223257,301979832.5862763,28325074.67343571,273442039.72280073,6504053.875211443,769357922.6928009,750858247.3156129,253410776.50673583,148259394.20532212,532316040.609974,48258920.397036545,481370659.1904131,12817660.405109877,forecast
AUS,FRA,2025,1365334153.5804665,3053760023.2425737,4419094176.82304,233453542.49851722,331985740.5721046,112513739.21153268,31471874.63245488,341063006.10025465,28180133.448517215,282935476.9321375,3730640.184947627,859860297.3101577,802683420.0472265,212827822.86515924,161885836.30056885,530609993.35189605,39680909.37084149,439337657.4323592,6874086.564364414,forecast
AUS,FRA,2026,1455803979.2251458,3107188129.482658,4562992108.707804,229522769.03226084,393367429.5469041,105029464.9223295,23219324.575412665,383038003.75841266,28404536.462633546,291137368.2907956,2085082.6363969408,945258914.7831004,850193585.3226072,176508637.13829687,175875775.19030213,525094084.3572741,32405716.383732595,398248323.4110302,3603092.8963139285,forecast
AUS,HKG,2024,5472350494.471677,2446283309.038643,7918633803.51032,478347918.8982885,22295736.302540325,232536092.7997179,4207152985.805761,44681839.758907065,268970104.0955455,214348989.97728923,4016826.833626784,174166899.4135825,26159529.38682973,71735426.0966969,1705993593.8846445,34221823.34751879,275304521.70101464,139845539.71328345,18855975.495072465,forecast
AUS,HKG,2025,6049407615.718942,2329135913.36357,8378543529.082512,361358207.34637606,8110723.445544411,275242870.2595336,4930279823.783897,38232406.65446125,261776469.70585304,170387890.5168233,4019224.0064519155,127041173.77642305,22099008.550154984,53439421.888355695,1780911193.3196144,24058490.033638302,207839777.8093898,104936938.59805559,8809909.387939176,forecast
AUS,HKG,2026,6708231973.708918,2251902899.390578,8960134873.099495,256768909.33084854,2948529.6711264383,324019252.6549791,5697399286.550937,32452381.89933278,258543926.05516258,132320194.73484108,3779492.81169017,92261474.64903551,18567035.93469698,39877766.76644122,1844579747.682049,16912956.323993716,157019577.72877863,78616231.82629077,4068108.4792917566,forecast
AUS,IDN,2024,7719808882.04991,2445383738.493654,10165192620.543564,2276430027.3624926,2630522198.17945,1102848437.1607382,1040882630.1871824,323116775.38986784,184958790.3486252,147263074.27558532,13786949.145968415,747971980.5739862,881417941.101548,279479610.87298304,319019432.47753125,98385385.61066057,43211299.20124696,43111115.20263657,32786973.45306113,forecast
AUS,IDN,2025,10236460218.533812,2525437147.5098534,12761897366.043665,3141328108.7790117,3555337290.021505,1498541273.6578774,1294748766.5750592,372889635.6256797,209693749.24688274,154304001.58661053,9617393.041184923,755416538.507556,973356073.0543883,261374665.37309673,325868067.70717883,93024333.0958372,36403417.36250772,35347536.05726358,44646516.352025576,forecast
AUS,IDN,2026,13502011210.176989,2583720569.0583515,16085731779.23534,4248329679.9595757,4788869813.421039,2027349310.2292552,1602438365.1629102,430912245.5856641,236574383.12662664,160980379.9737937,6557032.718121784,745923497.0648998,1058293597.4032888,242596517.86062056,331366116.19993514,87481002.49271417,30642374.64974874,28660708.107364275,58756755.27977981,forecast
AUS,IND,2024,13704964863.432629,7802719838.9092245,21507684702.341854,989838880.3280846,8283771294.592283,928020941.2251028,2541386021.2287374,442804122.7378157,109606333.24068376,406307436.5125338,3229833.5673871967,362719215.28380245,5598323424.009538,396015960.6912488,1027582053.7798522,187081088.82574445,78308692.59451209,148269298.58452925,4420105.13999859,forecast
AUS,IND,2025,15650857467.689236,10576348871.050257,26227206338.739494,1257350673.5801194,9092050368.087076,1011131522.9093491,3300739943.156819,484006659.0811311,107887778.75976981,396931277.79706913,759244.3179022279,443294272.029671,7871493306.66142,435820867.70072556,1330237412.7840934,220953308.79574043,120097423.63770261,150511561.19002032,3940718.2508858857,forecast
AUS,IND,2026,17395428168.89298,14223940171.801836,31619368340.694817,1587598261.6091185,9734992594.72432,1104496077.9455094,3949409867.5596843,524822186.10014987,108077434.87542962,385856096.3415604,175649.73720544783,540123245.5209848,10907240704.015396,479692037.64181066,1696622662.524984,260022796.36354348,184504492.31732288,152292448.88474455,3441784.533047916,forecast
AUS,JPN,2024,44850740134.02225,12905687318.870827,57756427452.893074,3370838538.1480055,27146405427.173424,1758560664.3175306,87000002.95755033,11124197737.569149,388796966.72906065,971422052.393972,3518744.7335532825,873834272.3663291,9683770525.802588,354046814.5580221,41663598.721514694,1779560819.9560804,38979403.82826825,64025265.4864514,69806618.15157376,forecast
AUS,JPN,2025,45898001272.5999,13192378857.10085,59090380129.700745,3212832166.027482,26698098278.254704,1821910887.2278059,59472513.63502455,12551936077.442549,376815769.80947775,1176427459.403417,508120.79944177816,834328812.5703235,10135739443.887884,309154969.7711706,34739952.557622,1734850283.0155244,29865525.05898866,51997269.94301111,61702600.2963249,forecast
AUS,JPN,2026,47016906890.791885,13421698406.466217,60438605297.2581,3021440640.706043,26116882850.781834,1888138941.0742342,39628771.83531741,14159356619.365202,365155931.9558347,1426229484.962895,73650.1105304273,785225048.2973945,10537023731.129019,267991202.2711269,28138628.70899159,1684533329.2515876,22891179.694561683,42165963.28471578,53729323.82882166,forecast
AUS,KOR,2024,20500230735.605133,17495694474.968334,37995925210.57347,1664722317.2997577,14396466372.19479,1217341242.6557937,620044467.1323764,2195370296.4394455,118426541.12678356,285869010.41027135,1990488.3459116155,1339395017.4849155,12898327809.934378,833558496.3271617,392712221.7804424,1776713315.9978843,75876824.99571452,178027590.65728852,1083197.7905507872,forecast
AUS,KOR,2025,20816932909.244595,22640955112.348984,43457888021.59358,1601523831.9695435,14645774138.541374,1133307979.1161683,870201914.3971307,2159329098.2968173,90152707.86559342,316306708.6519722,336530.4059960778,1652883595.4673529,16683358112.590036,954384704.010502,602336640.8944352,2370260229.049724,80570551.94692567,296500374.2942416,660904.0957642504,forecast
AUS,KOR,2026,20943167469.00738,29130994057.9935,50074161527.000885,1515533886.3109226,14713378604.923662,1056096005.8352643,1104591213.5122404,2129725645.5431337,68740677.38788977,355045969.07461673,55466.41965029608,2026052233.0442653,21365128408.598618,1091842833.4442854,910685631.2062925,3162630435.092901,85635973.17288391,488623209.2038633,395334.2303917148,forecast
AUS,MYS,2024,6098099793.80434,9677711651.141197,15775811444.945538,483694117.1552779,4051819234.5312777,851039945.8043244,148400888.34444577,124470190.33681121,250610997.70904073,187588110.55142337,476309.3717391252,932766885.3609486,5772042607.0137205,1673302839.172831,363836708.81806016,295222229.54749423,379433892.4698552,253558816.59196696,7547672.166320372,forecast
AUS,MYS,2025,6685220005.059932,11377533672.393406,18062753677.45334,433474660.1360251,4757964613.512126,817916729.5194386,157390206.75006154,124845466.1515344,192128912.43738395,201400593.35642216,98823.19693988941,1020473067.2489003,6827449862.4398985,2057193958.9123378,496489079.80578107,329872335.26376736,357550634.25772876,282931492.9456993,5573241.519292593,forecast
AUS,MYS,2026,7351998585.217269,13382715940.429758,20734714525.647026,379186302.93216497,5538617034.556696,781016978.5770916,164839353.67943308,125386423.98700063,147886221.3975499,215046047.25219062,20222.835143297183,1104304351.2749162,8058514960.916151,2522363309.4360056,670987637.6456001,369141244.86576253,337470131.15075266,315801336.89421046,4132968.246361607,forecast
AUS,NLD,2024,3621838267.1173882,3571133529.3333306,7192971796.450719,628837795.1105717,1876913381.1242814,250729490.76773733,33867997.58088103,359225692.8750932,121269982.63003659,322413089.63425475,28580837.394532148,566321270.2169006,702164737.8074154,735693827.1691953,67190981.24339768,382960609.2306518,197500157.72693148,877591775.3012279,41710170.63761051,forecast
AUS,NLD,2025,5152084483.719381,3767953205.264041,8920037688.983421,671050011.6272974,3041245455.8324947,277848448.43501186,44039326.988580175,611256942.9637631,134785778.29390264,339241195.6577417,32617323.92059074,527171195.700016,776537197.4714172,864392002.0338417,75529226.41029826,390338510.9997989,223134883.27583858,892369016.6956934,18481172.677136894,forecast
AUS,NLD,2026,7349369256.5184765,4005557859.2638674,11354927115.782345,686590085.331537,4740325939.982219,304104939.15856624,56501198.945695035,1025018875.8557241,149851945.88573903,350373379.9173856,36602891.44161005,485026636.1088462,857395932.4062347,1015719368.7146878,84506192.70884506,398324391.96077836,251033852.72613063,905371901.293859,8179583.344485593,forecast
AUS,PHL,2024,3930870782.8340774,549384101.4005632,4480254884.23464,2161922908.5071297,561891001.1201576,447962799.26469886,191720792.3195122,149203788.29644892,152725009.0286972,250254940.82163018,15189543.475803057,149486313.54336876,337389559.59147,22841189.36612186,8635111.74958511,5847282.945526972,7376370.258406285,8523744.488447983,9284529.45763632,forecast
AUS,PHL,2025,6159881036.064381,789306878.9248656,6949187914.989246,3655395156.2035007,654260196.1823928,687598502.3792365,399697321.0690445,211432557.35436243,195171043.4929392,349783796.5491329,6542462.833771805,146137285.56767848,592874894.674802,16230397.429783097,8602985.202182824,4219189.2446701005,5253434.69603058,6331672.218999271,9657019.890719336,forecast
AUS,PHL,2026,9562199781.555094,1216417748.3220925,10778617529.877186,5912151847.073365,753807579.7984781,1035402037.5490162,826004335.0958283,297040673.530452,250142847.777983,484873748.82368016,2776711.906290642,137831644.12416354,1037249100.2352138,11534131.90612311,8332773.588753952,3040616.7955485377,3743980.6916681854,4693094.8265809845,9992406.154040271,forecast
AUS,SGP,2024,9878658324.377802,16415794395.120682,26294452719.49848,803266509.2061243,6289793951.693622,337539646.9333549,1242457748.95762,298529498.7677086,394612849.3425428,508643348.13138866,3814771.345442563,1149765737.2990053,8857596593.08309,837808777.7666713,1769832506.2344673,1050204928.6687249,706610573.0287116,791276740.4372556,1252698538.602756,forecast
AUS,SGP,2025,11427888053.00512,24351063295.13031,35778951348.13543,807924591.0880818,7359866982.399831,361189489.28976136,1511768861.8757927,367175619.5407686,450201120.2781558,568641636.7608749,1119751.77185049,1312521821.1982477,13682538640.354094,954987573.8267019,2318836792.7375846,1354715297.1907377,718514243.4547203,839614932.6764051,3169333993.6918173,forecast
AUS,SGP,2026,13234569178.30915,37077846580.39977,50312415758.70892,811969373.5584038,8619686123.294325,388347060.5217712,1810819890.664343,451798678.47944,517045924.5946964,634576869.4938991,325257.7022742948,1464977459.248563,20467221492.975407,1086169399.510763,2960292372.8693523,1722267148.3473742,725800901.1781334,884802650.3025409,7766315155.967641,forecast
AUS,THA,2024,5474316159.925016,9147237406.02302,14621553565.948036,799242316.005478,743092387.4197296,759688173.6036358,128612602.0438091,2699656072.2061996,140351733.40990934,203007634.73329628,665240.502958112,1218243451.0943797,2645014016.7401133,1069484090.6619955,166154130.49525163,3543599168.6852865,279108495.7276106,223786839.59417814,1847213.0242061163,forecast
AUS,THA,2025,6668839875.109003,9405798412.570538,16074638287.67954,1008085933.9984783,918868269.8158995,846209526.7602443,101569381.07148466,3409927351.0008717,144775438.540242,239260287.69001135,143686.23177165526,1263093323.6056335,3038790414.9728603,981641861.8807,89780554.48864639,3533730433.389577,294096286.5792544,203904075.4339119,761462.2199531954,forecast
AUS,THA,2026,8179169980.002598,9742041668.503866,17921211648.506462,1260021661.1758888,1139552714.9452956,941437590.2981946,79452435.116458,4328426242.410508,148932195.95836836,281316240.6319953,30899.465889436586,1301016506.7759306,3482136235.570841,899850977.1089004,47103959.44161217,3514781993.559263,311326407.17074263,185530956.64106247,294632.2355154553,forecast
