country_a,country_b,year,tradeagreementindex,sentiment_index
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2021,-1.0,-0.3506199830017134
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2022,-1.0,-0.24914455653526457
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,AUS,2023,-1.0,-0.156140614748981
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2021,-1.0,0.0515204378166183
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2022,-0.8367346938775511,0.11651215901527756
ARE,CHE,2023,-0.8367346938775511,-0.06194296327913773
ARE,CHE,2023,-0.8367346938775511,-0.06194296327913773
ARE,CHE,2023,-0.8367346938775511,-0.06194296327913773
ARE,CHE,2023,-0.8367346938775511,-0.06194296327913773
ARE,CHE,2023,-0.8367346938775511,-0.06194296327913773
